"","symbol","X","et.avg","et.sd","pval.x","pval.t"
"1","00001.HK",1.00143237026397,0.00269466047869843,0.0381491627167184,2.9208184826081e-297,8.53219505353369e-09
"2","00010.HK",0.997369764018431,-0.00312785221780957,0.0444640413055715,1.96367212642491e-284,0.90279811551819
"3","01001.HK",1.00742375443084,0.00808798876851457,0.0894860013830145,2.87990299695599e-228,6.09941177066498e-07
"4","01002.HK",1.00601743569986,0.00249558958721337,0.112371737298637,1.18780510249248e-209,0.000990245285999242
"5","01003.HK",1.01565829044905,-0.0168145771282674,0.221164022443957,7.63433043094418e-156,1.68092324323487e-11
"6","01005.HK",1.01282379798671,0.0173790362366075,0.103813610952419,1.247666304412e-216,3.50286769008294e-11
"7","01007.HK",1.07347631029532,-0.000245305652811216,0.237915414589625,8.53940256562997e-28,2.14534400576673e-08
"8","01008.HK",1.01062457171013,0.00449380536116073,0.107259193859238,1.95311658812231e-128,4.1625258111674e-14
"9","01009.HK",1.00936184722996,0.00325850180045497,0.167022189423753,7.30133167493877e-178,1.14775566707386e-10
"10","00101.HK",0.997214141114659,-0.00195881210761554,0.043474947706738,2.95684975232448e-286,0.296916238159653
"11","01010.HK",-1.66657450510047,-0.185975996497559,0.181145990050817,0.33729737734638,0.317568393047052
"12","01011.HK",1.04141406524278,-0.00286206464377559,0.114547461809443,2.47438379629441e-108,0.00773580595875717
"13","01013.HK",0.993157634559673,-0.0212139757733359,0.138620479841518,1.33254425393647e-191,0.000120755586315811
"14","00102.HK",0.994930215069996,-0.00548906070717109,0.156756248846529,8.14669936293831e-182,6.35758493708523e-12
"15","01020.HK",1.00392638798106,-0.00980669868359688,0.148810982373884,1.03206519841401e-97,9.34098273943884e-08
"16","01022.HK",1.03779706338123,0.0145683719856015,0.165863197917218,2.40758489984204e-62,9.17743988026605e-10
"17","01023.HK",1.01280428414618,-0.00395159519141092,0.0896197034796609,1.01403600873316e-113,0.387494438285215
"18","01024.HK",0.533759417067615,-0.188863001342056,0.174169585928524,0.728070482921867,0.752423845583046
"19","01025.HK",1.08674809867356,0.066031792564672,0.298608000471138,3.23231979307498e-20,0.000100686424051842
"20","01026.HK",1.00023411132524,-0.000247673351420052,0.118273599004031,4.95004064516731e-205,7.95601048045e-06
"21","01027.HK",1.04307775425247,0.0128555855540177,0.422943396368208,1.68763699690914e-31,2.96005529451581e-15
"22","01028.HK",1.05533072251009,0.0225992614183535,0.133840840841849,1.70538272555253e-97,2.72056355506593e-13
"23","01029.HK",1.01308080791569,-0.00622338735597498,0.144933196028795,6.31131097901938e-98,8.43240480254014e-07
"24","00103.HK",1.00052655491349,-0.00311448424470843,0.0852450789946629,1.17184999025313e-231,0.00122535689710273
"25","01030.HK",0.991272839754766,0.00628367105397537,0.0963065010719227,1.58860034027106e-100,0.0132606267512038
"26","01031.HK",1.01630261757305,0.0136786576866489,0.135490322268796,2.58932214665421e-195,1.28413400088357e-08
"27","01033.HK",1.01043786744143,0.00569351105808606,0.108375260766949,6.02093159735685e-213,9.71791305184510e-09
"28","01034.HK",1.10328628796747,0.155132865005131,0.366444416227877,1.00277039111107e-19,2.81144824526853e-06
"29","01036.HK",0.997754508772872,-0.0091924835685456,0.106325963159963,1.80014562470622e-213,1.11623041219462e-16
"30","01037.HK",1.01094006403176,0.0100761058528077,0.125905858800937,7.95034423320244e-201,3.60279506754154e-09
"31","01038.HK",1.00085769409474,0.00548649935368949,0.0582796415209627,1.17813970315448e-262,9.01516853217993e-05
"32","01039.HK",1.00379797517928,-0.0181588625120973,0.128075767651083,6.10640112313996e-105,5.99972063310431e-05
"33","00104.HK",0.994343319942834,-0.0106072098153373,0.134088151330509,2.18312790007101e-194,3.53661241961609e-11
